,br_ibov_ret_log,br_selic_diff,br_dolar_diff,br_ipca,br_pib_ret_log,ipca_expectativa_diff,embi_brasil_diff,T_choque_dolar,vix_ret_log,sp500_ret_log,petroleo_ret_log,br_selic
2002-01-29,-0.0392945506738513,0.0,0.0005999999999999,0.3754838709677419,-0.0002595309743185,0.0099999999999999,23.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-30,0.0024767319815186,0.0,0.0150000000000001,0.3703225806451612,-0.0002595983481317,0.0,2.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-01-31,0.0149687980841282,0.0,-0.0201000000000002,0.3651612903225806,-0.0002596657569338,0.0,107.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-01,-0.0048857465193812,0.0,-0.0021999999999997,0.36,-0.0002597332007514,-0.0699999999999999,-84.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-04,-0.0116003207717731,0.0,0.0066999999999999,0.3857142857142857,0.0066743756045202,-0.01,9.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-05,0.018606292672171,0.0,-0.0013999999999998,0.3942857142857143,0.0022149290430615,0.0,-14.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-06,0.0002353033463151,0.0,-0.0008000000000003,0.4028571428571428,0.0022100339726307,0.0,-7.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-07,-0.0052683432253033,0.0,0.0312000000000001,0.4114285714285714,0.0022051604910533,0.0,15.0,1,0.0,0.0,0.0,3.400000000000625e-05
2002-02-08,-0.0068032854763639,0.0,0.0173,0.42,0.0022003084558157,-0.01,1.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-13,0.0284067772414999,0.0,-0.0459,0.4628571428571428,0.0109295025536066,0.0,-57.0,1,0.0,0.0,0.0,3.400000000000625e-05
2002-02-14,0.0216752742827956,0.0,0.0017,0.4714285714285714,0.002171638793202,0.0,8.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-15,0.0041439125036752,0.0,0.0131000000000001,0.48,0.0021669329956015,0.0,7.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-18,-0.0134738243050218,0.0,-0.0096000000000002,0.5057142857142857,0.0064727670458673,0.0,-1.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-19,-0.009956427503365,0.0,-0.0034999999999998,0.5142857142857142,0.0021483119957821,0.0,-6.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-20,0.0236557902824472,0.0,0.0034999999999998,0.5228571428571429,0.0021437066433183,0.0,-15.0,0,0.0,0.0,0.0,3.400000000000625e-05
2002-02-21,0.0169198684809277,-0.000835,-0.0042999999999997,0.5314285714285714,0.0021391209936805,0.0,8.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-02-22,0.0024360547978812,0.0,0.0031999999999996,0.54,0.0021345549207012,0.0,-5.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-02-25,0.0301391680743599,0.0,-0.0210999999999996,0.5657142857142857,0.0063764622207251,0.0,-16.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-02-26,-0.0010020758121473,0.0,-0.0115000000000002,0.5742857142857143,0.0021164839093241,0.0,-2.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-02-27,0.0176040889159896,0.0,-0.012,0.5828571428571429,0.0021120138642984,0.0,-24.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-02-28,-0.0126749793897804,-3.300000000000525e-05,-0.0344999999999999,0.5914285714285714,0.002107562661088,0.0,4.0,1,0.0,0.0,0.0,-0.000833999999999999
2002-03-01,0.021850319543077,3.300000000000525e-05,0.0114,0.6,0.00210313018081,0.0,-17.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-04,0.0088846284437789,0.0,-0.0163999999999999,0.6193548387096774,0.0015847838410785,0.0,-14.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-05,-0.0323039113667604,0.0,-0.0181,0.6258064516129032,0.0005277036513593,0.0,4.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-06,-0.0123520421453022,0.0,0.0268999999999999,0.632258064516129,0.0005274253270819,0.0,7.0,1,0.0,0.0,0.0,-0.0008009999999999938
2002-03-07,-0.0081988487573489,0.0,0.0142999999999999,0.6387096774193548,0.0005271472962409,0.0,1.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-08,0.0170475090617667,0.0,-0.0080999999999997,0.6451612903225806,0.0005268695583708,-0.01,-24.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-11,-0.0192355341488248,0.0,-0.0095,0.6645161290322581,0.001578945170678,0.0,-3.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-12,0.0347992210798242,0.0,0.0009000000000001,0.6709677419354838,0.0005257615273706,0.0,-13.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-13,0.004432724936322,0.0,-0.0127999999999999,0.6774193548387096,0.0005254852474365,0.0,-10.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-14,-0.0089560205134695,0.0,0.0072999999999998,0.6838709677419355,0.0005252092577148,0.0,-19.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-15,0.0174149475291898,0.0,0.0100999999999999,0.6903225806451613,0.0005249335577452,0.0,5.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-18,-0.0083887244813798,0.0,-0.0136000000000002,0.7096774193548387,0.0015731493640984,0.01,2.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-19,-0.0089553889765916,0.0,0.0026000000000001,0.7161290322580646,0.0005238336462802,0.0,0.0,0,0.0,0.0,0.0,-0.0008009999999999938
2002-03-20,-0.001985253062692,-3.300000000000525e-05,-0.0051999999999998,0.7225806451612904,0.0005235593882506,-0.01,-7.0,0,0.0,0.0,0.0,-0.000833999999999999
2002-03-21,-0.0268293864143185,-0.0008039999999999,0.0095,0.7290322580645161,0.0005232854172518,0.0,20.0,0,0.0,0.0,0.0,-0.001637999999999899
2002-03-22,-0.0299700554174169,-3.299999999999137e-05,0.0032999999999998,0.7354838709677419,0.0005230117328327,0.0,10.0,0,0.0,0.0,0.0,-0.0016709999999998905
2002-03-25,-0.002557353781885,3.299999999999137e-05,0.0133,0.7548387096774194,0.0015673959510476,0.0,3.0,0,0.0,0.0,0.0,-0.001637999999999899
2002-03-26,0.02175294354981,0.0,-0.0139,0.7612903225806452,0.0005219198519839,0.0,-8.0,0,0.0,0.0,0.0,-0.001637999999999899
2002-03-27,-0.0107428334518502,-3.299999999999137e-05,-0.0131000000000001,0.767741935483871,0.0005216475937412,0.01,2.0,0,0.0,0.0,0.0,-0.0016709999999998905
2002-03-28,-0.0127438006539399,-6.70000000000115e-05,-0.0135,0.7741935483870968,0.0005213756193978,0.0,-8.0,0,0.0,0.0,0.0,-0.001737999999999902
2002-04-01,0.0158674087269172,-0.0001679999999999,-0.0015999999999998,0.8,0.0020827883965974,0.0499999999999999,1.0,0,0.0,0.0,0.0,-0.001905999999999802
2002-04-02,-0.0166221257438721,-0.000234,-0.0198,0.7803333333333333,0.0008764073386622,0.0,2.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-03,-0.012153586741924,0.0,-0.0045000000000001,0.7606666666666667,0.0008756399213609,0.0,8.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-04,0.0207986321263913,0.0,0.0141,0.741,0.0008748738468469,0.0,5.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-05,-0.0063072742507728,0.0,-0.0193999999999996,0.7213333333333334,0.0008741091115958,0.0,4.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-08,-0.0087759679605561,0.0,-0.0017,0.6623333333333333,0.002617752263383,0.0,7.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-09,0.0026560440581153,0.0,-0.0065000000000003,0.6426666666666667,0.0008710634932587,0.0,2.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-10,0.0166100545656213,0.0,-0.0113999999999996,0.623,0.0008703054019463,0.01,0.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-11,-0.0003727587921051,0.0,-0.0019,0.6033333333333334,0.0008695486290282,-0.01,-7.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-12,0.025036283012005,0.0,0.0278999999999998,0.5836666666666667,0.0008687931710706,0.01,-17.0,1,0.0,0.0,0.0,-0.0021399999999998018
2002-04-15,-0.020498091240837,0.0,0.0192000000000001,0.5246666666666666,0.0026018598637538,0.0,26.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-16,0.0111460832839522,0.0,-0.0007999999999999,0.505,0.0008657844205135,0.0,-16.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-17,0.0079693348115217,0.0,-0.0007000000000001,0.4853333333333333,0.0008650354862194,0.0,1.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-18,-0.0116463502796175,0.0,0.0161999999999999,0.4656666666666667,0.0008642878465163,0.0,7.0,0,0.0,0.0,0.0,-0.0021399999999998018
2002-04-19,-0.0070237987918027,-3.399999999999237e-05,-0.0057999999999998,0.446,0.0008635414980471,0.0,1.0,0,0.0,0.0,0.0,-0.002173999999999794
2002-04-22,-0.0190253660053016,-3.300000000000525e-05,0.0078,0.387,0.0025861592656291,0.0,10.0,0,0.0,0.0,0.0,-0.0022069999999997994
2002-04-23,-0.002726035309239,-0.0001009999999999,0.0139999999999997,0.3673333333333333,0.0008605689498626,0.0,21.0,0,0.0,0.0,0.0,-0.002307999999999699
2002-04-24,0.0145284651133685,-3.400000000000625e-05,0.0080999999999997,0.3476666666666667,0.0008598290076715,0.0,11.0,0,0.0,0.0,0.0,-0.0023419999999997054
2002-04-25,-0.008103893678788,0.000101,0.0098000000000002,0.3279999999999999,0.0008590903368332,0.0,11.0,0,0.0,0.0,0.0,-0.0022409999999997055
2002-04-26,-0.0149534077820998,-3.300000000000525e-05,-0.0108000000000001,0.3083333333333333,0.0008583529340775,0.0,21.0,0,0.0,0.0,0.0,-0.0022739999999997107
2002-04-29,0.0010700910598444,-0.000269,0.0131000000000001,0.2493333333333333,0.0025706470176274,-0.01,10.0,0,0.0,0.0,0.0,-0.002542999999999711
2002-04-30,-0.0003820439396999,-0.0005709999999999,-0.0064000000000001,0.2296666666666666,0.0008554159387745,0.0,32.0,0,0.0,0.0,0.0,-0.003113999999999611
2002-05-02,-0.0427025031303323,0.0008729999999999,0.0144999999999999,0.2167741935483871,0.0008212389065906,-0.02,26.0,0,0.0,0.0,0.0,-0.002240999999999711
2002-05-03,0.0057261171250519,-0.000101,0.0379,0.2235483870967742,-3.344703978136465e-05,0.0,-4.0,1,0.0,0.0,0.0,-0.002341999999999711
2002-05-06,-0.0143772444542094,-3.300000000000525e-05,0.0178000000000002,0.2438709677419354,-0.0001003478320953,0.0,27.0,0,0.0,0.0,0.0,-0.0023749999999997163
2002-05-07,-0.0071048256237435,-0.000168,-0.0152999999999998,0.2506451612903225,-3.345151519873468e-05,-0.0199999999999999,-3.0,0,0.0,0.0,0.0,-0.0025429999999997165
2002-05-08,0.0220370310467288,-3.399999999999237e-05,0.0166999999999997,0.2574193548387096,-3.345263423959466e-05,0.0,-1.0,0,0.0,0.0,0.0,-0.002576999999999709
2002-05-09,-0.0416743827454748,0.0002349999999999,0.0178000000000002,0.2641935483870967,-3.345375335506162e-05,0.0,47.0,0,0.0,0.0,0.0,-0.0023419999999998086
2002-05-10,0.0023109947558292,0.000101,0.0318999999999998,0.2709677419354838,-3.345487254691193e-05,0.01,-4.0,1,0.0,0.0,0.0,-0.0022409999999998087
2002-05-13,-0.0106084203886371,0.0001009999999999,0.0114,0.2912903225806451,-0.0001003713335361,0.0,28.0,0,0.0,0.0,0.0,-0.0021399999999999085
2002-05-14,0.0166904642871017,3.300000000000525e-05,0.0201999999999999,0.2980645161290322,-3.3459350058606674e-05,0.0,-23.0,0,0.0,0.0,0.0,-0.0021069999999999032
2002-05-15,0.0118922962195622,3.400000000000625e-05,-0.0037000000000002,0.3048387096774193,-3.3460469625268274e-05,0.0099999999999999,-29.0,0,0.0,0.0,0.0,-0.002072999999999897
2002-05-16,0.0247913536420441,0.0,-0.0317999999999996,0.3116129032258064,-3.346158926653686e-05,-0.0099999999999999,-16.0,1,0.0,0.0,0.0,-0.002072999999999897
2002-05-17,0.0030758334908664,-3.400000000000625e-05,-0.0036,0.3183870967741935,-3.346270898063608e-05,0.0099999999999999,14.0,0,0.0,0.0,0.0,-0.0021069999999999032
2002-05-20,-0.0024441215305035,0.0,-0.0026000000000001,0.3387096774193548,-0.0001003948459867,0.0,9.0,0,0.0,0.0,0.0,-0.0021069999999999032
2002-05-21,0.0026016018457895,-3.300000000000525e-05,0.0049999999999998,0.3454838709677419,-3.346718859198461e-05,0.0,12.0,0,0.0,0.0,0.0,-0.0021399999999999085
2002-05-22,-0.0265682386771164,-0.0001009999999999,0.0228999999999999,0.352258064516129,-3.346830868267148e-05,0.0,19.0,0,0.0,0.0,0.0,-0.0022409999999998082
2002-05-23,0.0150861471346406,0.0001339999999999,0.028,0.3590322580645161,-3.346942884796533e-05,-0.0099999999999999,13.0,1,0.0,0.0,0.0,-0.0021069999999999084
2002-05-24,0.0014325509811623,3.400000000000625e-05,-0.0055999999999998,0.3658064516129032,-3.3470549087866175e-05,0.0,18.0,0,0.0,0.0,0.0,-0.002072999999999902
2002-05-27,0.0098133107873898,-3.400000000000625e-05,-0.0011999999999998,0.3861290322580645,-0.0001004183694544,0.0099999999999999,-8.0,0,0.0,0.0,0.0,-0.0021069999999999084
2002-05-28,0.0023597902872261,0.0,0.0019999999999997,0.3929032258064516,-3.347503079886849e-05,0.0,2.0,0,0.0,0.0,0.0,-0.0021069999999999084
2002-05-29,0.0199905540792268,-0.000268,-0.0047000000000001,0.3996774193548387,-3.3476151413580624e-05,0.0,-5.0,0,0.0,0.0,0.0,-0.0023749999999999084
2002-05-31,-0.0095953688307623,-0.000571,0.0019,0.4132258064516129,-6.695566497327832e-05,0.0,-3.0,0,0.0,0.0,0.0,-0.0029459999999999083
2002-06-03,-0.0158310516292576,-0.0028669999999999,0.0193000000000003,0.4713333333333333,0.0018186785645397,0.09,30.0,0,0.0,0.0,0.0,-0.005812999999999808
2002-06-04,-0.0046716106972599,-0.004801,0.0283999999999999,0.497,0.0009247941919774,0.01,66.0,1,0.0,0.0,0.0,-0.010613999999999808
2002-06-05,-0.0007939659011757,0.0033089999999999,0.0388999999999999,0.5226666666666666,0.0009239397378149,0.01,55.0,1,0.0,0.0,0.0,-0.007304999999999907
2002-06-06,-0.0386235920215902,0.0038209999999999,0.0331999999999998,0.5483333333333333,0.0009230868611194,0.0,72.0,1,0.0,0.0,0.0,-0.003484000000000007
2002-06-07,0.0139369365222918,0.000773,0.0289999999999999,0.574,0.0009222355575353,0.0,-18.0,1,0.0,0.0,0.0,-0.002711000000000007
2002-06-10,0.0254806214004741,0.0002689999999999,-0.0341,0.651,0.0027616145170199,0.0,-37.0,1,0.0,0.0,0.0,-0.002442000000000107
