,br_ibov_ret_log,br_selic_diff,br_dolar_diff,br_ipca,br_pib_ret_log,ipca_expectativa_diff,embi_brasil_diff
2002-02-19,-0.009956427503365006,0.0,-0.0034999999999998366,0.5142857142857142,0.0021483119957821373,0.0,-6.0
2002-02-20,0.023655790282447242,0.0,0.0034999999999998366,0.5228571428571429,0.0021437066433183105,0.0,-15.0
2002-02-21,0.016919868480927747,-0.0008350000000000024,-0.0042999999999997485,0.5314285714285714,0.002139120993680521,0.0,8.0
2002-02-22,0.0024360547978812264,0.0,0.0031999999999996476,0.54,0.002134554920701248,0.0,-5.0
2002-02-25,0.0301391680743599,0.0,-0.021099999999999675,0.5657142857142857,0.0063764622207251875,0.0,-16.0
2002-02-26,-0.001002075812147396,0.0,-0.011500000000000288,0.5742857142857143,0.002116483909324174,0.0,-2.0
2002-02-27,0.017604088915989635,0.0,-0.01200000000000001,0.5828571428571429,0.00211201386429849,0.0,-24.0
2002-02-28,-0.01267497938978046,-3.300000000000525e-05,-0.034499999999999975,0.5914285714285714,0.002107562661088025,0.0,4.0
2002-03-01,0.021850319543077035,3.300000000000525e-05,0.011400000000000077,0.6,0.0021031301808100977,0.0,-17.0
2002-03-04,0.008884628443778908,0.0,-0.01639999999999997,0.6193548387096774,0.0015847838410785187,0.0,-14.0
2002-03-05,-0.032303911366760474,0.0,-0.018100000000000005,0.6258064516129032,0.0005277036513593458,0.0,4.0
2002-03-06,-0.012352042145302278,0.0,0.026899999999999924,0.632258064516129,0.0005274253270819429,0.0,7.0
2002-03-07,-0.008198848757348998,0.0,0.01429999999999998,0.6387096774193548,0.0005271472962409263,0.0,1.0
2002-03-08,0.017047509061766775,0.0,-0.008099999999999774,0.6451612903225806,0.0005268695583708904,-0.010000000000000009,-24.0
2002-03-11,-0.01923553414882484,0.0,-0.009500000000000064,0.6645161290322581,0.0015789451706780255,0.0,-3.0
2002-03-12,0.03479922107982425,0.0,0.0009000000000001229,0.6709677419354838,0.0005257615273706051,0.0,-13.0
2002-03-13,0.004432724936322074,0.0,-0.012799999999999923,0.6774193548387096,0.0005254852474365634,0.0,-10.0
2002-03-14,-0.008956020513469554,0.0,0.007299999999999862,0.6838709677419355,0.0005252092577148204,0.0,-19.0
2002-03-15,0.017414947529189817,0.0,0.010099999999999998,0.6903225806451613,0.0005249335577452996,0.0,5.0
2002-03-18,-0.008388724481379839,0.0,-0.013600000000000279,0.7096774193548387,0.0015731493640984695,0.010000000000000009,2.0
2002-03-19,-0.00895538897659165,0.0,0.0026000000000001577,0.7161290322580646,0.0005238336462802806,0.0,0.0
2002-03-20,-0.0019852530626920384,-3.300000000000525e-05,-0.005199999999999871,0.7225806451612904,0.0005235593882506606,-0.010000000000000009,-7.0
2002-03-21,-0.026829386414318535,-0.0008039999999999992,0.009500000000000064,0.7290322580645161,0.0005232854172518842,0.0,20.0
2002-03-22,-0.02997005541741693,-3.299999999999137e-05,0.0032999999999998586,0.7354838709677419,0.0005230117328327566,0.0,10.0
2002-03-25,-0.002557353781885041,3.299999999999137e-05,0.01330000000000009,0.7548387096774194,0.001567395951047601,0.0,3.0
2002-03-26,0.021752943549810055,0.0,-0.013900000000000023,0.7612903225806452,0.0005219198519839097,0.0,-8.0
2002-03-27,-0.010742833451850231,-3.299999999999137e-05,-0.013100000000000112,0.767741935483871,0.0005216475937412923,0.010000000000000009,2.0
2002-03-28,-0.012743800653939985,-6.70000000000115e-05,-0.013500000000000068,0.7741935483870968,0.0005213756193978014,0.0,-8.0
2002-04-01,0.015867408726917276,-0.0001679999999999876,-0.0015999999999998238,0.8,0.002082788396597479,0.04999999999999999,1.0
2002-04-02,-0.016622125743872118,-0.00023400000000001198,-0.01980000000000004,0.7803333333333333,0.0008764073386622329,0.0,2.0
2002-04-03,-0.012153586741924016,0.0,-0.0045000000000001705,0.7606666666666667,0.0008756399213609711,0.0,8.0
2002-04-04,0.020798632126391325,0.0,0.014100000000000001,0.741,0.0008748738468469242,0.0,5.0
2002-04-05,-0.006307274250772821,0.0,-0.01939999999999964,0.7213333333333334,0.0008741091115958,0.0,4.0
2002-04-08,-0.00877596796055613,0.0,-0.0017000000000000348,0.6623333333333333,0.002617752263383011,0.0,7.0
2002-04-09,0.00265604405811537,0.0,-0.006500000000000394,0.6426666666666667,0.0008710634932587169,0.0,2.0
2002-04-10,0.01661005456562137,0.0,-0.011399999999999633,0.623,0.0008703054019463252,0.010000000000000009,0.0
2002-04-11,-0.0003727587921051878,0.0,-0.0019000000000000128,0.6033333333333334,0.0008695486290282162,-0.010000000000000009,-7.0
2002-04-12,0.025036283012005,0.0,0.027899999999999814,0.5836666666666667,0.000868793171070692,0.010000000000000009,-17.0
2002-04-15,-0.020498091240837013,0.0,0.019200000000000106,0.5246666666666666,0.0026018598637538304,0.0,26.0
2002-04-16,0.01114608328395228,0.0,-0.0007999999999999119,0.505,0.000865784420513549,0.0,-16.0
2002-04-17,0.007969334811521733,0.0,-0.000700000000000145,0.48533333333333334,0.0008650354862194121,0.0,1.0
2002-04-18,-0.011646350279617579,0.0,0.016199999999999992,0.4656666666666667,0.0008642878465163761,0.0,7.0
2002-04-19,-0.0070237987918027045,-3.399999999999237e-05,-0.005799999999999805,0.446,0.0008635414980471268,0.0,1.0
2002-04-22,-0.01902536600530169,-3.300000000000525e-05,0.007800000000000029,0.387,0.0025861592656291066,0.0,10.0
2002-04-23,-0.0027260353092390943,-0.00010099999999998999,0.01399999999999979,0.36733333333333335,0.000860568949862639,0.0,21.0
2002-04-24,0.014528465113368583,-3.400000000000625e-05,0.008099999999999774,0.3476666666666667,0.0008598290076715642,0.0,11.0
2002-04-25,-0.008103893678788054,0.00010100000000000386,0.009800000000000253,0.32799999999999996,0.0008590903368332903,0.0,11.0
2002-04-26,-0.014953407782099859,-3.300000000000525e-05,-0.010800000000000143,0.3083333333333333,0.0008583529340775442,0.0,21.0
2002-04-29,0.001070091059844458,-0.00026900000000000535,0.013100000000000112,0.2493333333333333,0.0025706470176274365,-0.010000000000000009,10.0
2002-04-30,-0.00038204393969998307,-0.0005709999999999882,-0.006400000000000183,0.22966666666666669,0.0008554159387745841,0.0,32.0
2002-05-02,-0.0427025031303323,0.0008729999999999988,0.014499999999999957,0.2167741935483871,0.0008212389065906933,-0.020000000000000018,26.0
2002-05-03,0.005726117125051999,-0.00010100000000000386,0.037900000000000045,0.2235483870967742,-3.344703978136465e-05,0.0,-4.0
2002-05-06,-0.014377244454209404,-3.300000000000525e-05,0.01780000000000026,0.24387096774193548,-0.00010034783209533771,0.0,27.0
2002-05-07,-0.007104825623743594,-0.00016800000000000148,-0.01529999999999987,0.25064516129032255,-3.345151519873468e-05,-0.019999999999999962,-3.0
2002-05-08,0.022037031046728828,-3.399999999999237e-05,0.016699999999999715,0.25741935483870965,-3.345263423959466e-05,0.0,-1.0
2002-05-09,-0.04167438274547486,0.0002349999999999991,0.01780000000000026,0.26419354838709674,-3.345375335506162e-05,0.0,47.0
