,br_ibov_ret_log,br_selic_diff,br_dolar_diff,br_ipca,br_pib_ret_log,ipca_expectativa_diff,embi_brasil_diff
2017-03-09,-0.0020571842401917,0.0,0.0258000000000002,0.2216129032258064,-0.0013490809613703,0.0,3.0
2017-03-10,0.001392542388114,0.0,-0.0112,0.2180645161290322,-0.0013509034397571,0.0,-10.0
2017-03-13,0.0131943638610998,0.0,-0.0081999999999999,0.2074193548387096,-0.004063694596363,0.0,6.0
2017-03-14,-0.0128233464963223,0.0,0.0097999999999998,0.2038709677419354,-0.0013582428606913,0.0,5.0
2017-03-15,0.0234632786993547,0.0,-0.0009999999999998,0.2003225806451612,-0.0013600901937707,0.0,-9.0
2017-03-16,-0.0068475778479157,0.0,-0.0548999999999999,0.1967741935483871,-0.0013619425587751,-0.01,-8.0
2017-03-17,-0.0242024844823518,0.0,-0.0005000000000001,0.1932258064516129,-0.0013637999762909,0.01,-2.0
2017-03-20,0.0104420983819117,0.0,-0.0177,0.1825806451612903,-0.0041025952702806,-0.01,-3.0
2017-03-21,-0.0297838445149896,0.0,-0.0133,0.1790322580645161,-0.0013712805871879,0.0,8.0
2017-03-22,0.0085533442151284,0.0,0.0174000000000003,0.1754838709677419,-0.0013731635800429,0.0,3.0
2017-03-23,0.0001574158615476,0.0,0.0308999999999999,0.1719354838709677,-0.0013750517513244,0.0,0.0
2017-03-24,0.0050712515952664,0.0,0.0034,0.1683870967741935,-0.001376945122427,0.0,-2.0
2017-03-27,0.0070848129558918,0.0,-0.0026000000000001,0.1577419354838709,-0.004142247915416,0.0,1.0
2017-03-28,0.0051493739121255,0.0,0.0047000000000001,0.1541935483870967,-0.001384571036981,0.0,-1.0
2017-03-29,0.013644118000462,0.0,-0.0074,0.1506451612903225,-0.0013864907321998,0.0,-3.0
2017-03-30,-0.0040063053417664,0.0,0.0017999999999998,0.1470967741935483,-0.0013884157580896,0.0,-1.0
2017-03-31,-0.0043301411228817,0.0,0.0437000000000002,0.1435483870967742,-0.0013903461368869,0.0,-4.0
2017-04-03,0.0034870806101849,0.0,-0.0517000000000003,0.1513333333333333,0.0002312718029546,0.02,0.0
2017-04-04,0.0085204363382995,0.0,0.0064000000000001,0.157,0.000810789443177,0.0,-5.0
2017-04-05,-0.0152288762489636,0.0,-0.0308000000000001,0.1626666666666666,0.0008101325961824,0.0,-2.0
2017-04-06,-0.0085583244587059,0.0,0.0237000000000002,0.1683333333333333,0.0008094768125967,0.0,6.0
2017-04-07,0.0057446437946868,0.0,0.0141999999999997,0.174,0.0008088220898336,0.0,2.0
2017-04-10,0.000882059433712,0.0,0.0106999999999999,0.191,0.0024225485026363,0.0,-4.0
2017-04-11,-0.0044957830936844,0.0,0.0015,0.1966666666666666,0.0008062137557125,0.0,5.0
2017-04-12,-0.007298164196472,0.0,0.0039000000000002,0.2023333333333333,0.000805564298659,0.0,-1.0
2017-04-13,-0.0168251573943294,-0.0035559999999999,-0.0194,0.208,0.0008049158871212,-0.01,0.0
2017-04-17,0.0237348061035724,0.0,-0.0232999999999998,0.2306666666666667,0.0032132002553257,0.0,-1.0
2017-04-18,-0.0027394292350706,0.0,-0.0078,0.2363333333333333,0.0008016894241773,0.0,5.0
2017-04-19,-0.0117901119588115,0.0,0.0335999999999998,0.242,0.0008010472330486,0.0,-2.0
2017-04-20,0.0055674527302027,0.0,0.0159000000000002,0.2476666666666666,0.0008004060699455,0.0,2.0
2017-04-24,0.0098010928943637,0.0,-0.0201999999999999,0.2703333333333333,0.0031952331231508,0.0,-12.0
2017-04-25,0.0117187936436771,0.0,0.0325999999999999,0.276,0.0007972155887951,0.0199999999999999,0.0
2017-04-26,-0.004399668661545,0.0,0.0269999999999996,0.2816666666666667,0.0007965805423353,-0.0199999999999999,5.0
2017-04-27,-0.0028562846057891,0.0,-0.0083999999999999,0.2873333333333333,0.0007959465068019,0.0,-4.0
2017-04-28,0.0111624775267369,0.0,0.0221,0.293,0.0007953134797826,0.0,-1.0
2017-05-02,0.0199666046496869,0.0,-0.0259999999999998,0.2925806451612903,0.0019218298491097,-0.07,-5.0
2017-05-03,-0.0094567624409958,0.0,-0.0235000000000003,0.2751612903225806,-0.0004605344716157,0.0,-2.0
2017-05-04,-0.0188006179008848,0.0,0.0291000000000001,0.257741935483871,-0.0004607466613375,0.0,8.0
2017-05-05,0.0129737676312533,0.0,-0.0015999999999998,0.2403225806451612,-0.0004609590466841,0.0,-2.0
2017-05-08,-0.0028041104661316,0.0,0.0173999999999998,0.1880645161290322,-0.0013841534124043,0.0,0.0
2017-05-09,0.0114110066443533,0.0,-0.0080999999999997,0.1706451612903225,-0.0004618105497034,0.0,2.0
2017-05-10,0.0160448857683732,0.0,-0.0251000000000001,0.1532258064516128,-0.0004620239172243,0.0,-7.0
2017-05-11,0.002787499580874,0.0,-0.0047000000000001,0.1358064516129032,-0.0004622374820009,0.0,-2.0
2017-05-12,0.0100766910393819,0.0,-0.0268999999999999,0.1183870967741935,-0.0004624512443047,0.0,0.0
2017-05-15,0.0036870176958512,0.0,-0.0278999999999998,0.0661290322580644,-0.001388638286107,0.0,-4.0
2017-05-16,0.0030621642790773,0.0,-0.0087000000000001,0.0487096774193547,-0.0004633082742717,0.0,-1.0
2017-05-17,-0.0167962604941358,0.0,0.0152000000000001,0.0312903225806451,-0.000463523028328,0.0,8.0
2017-05-18,-0.0921068469025954,0.0,0.2730999999999999,0.0138709677419354,-0.0004637379815672,0.0,42.0
2017-05-19,0.0167749192601895,0.0,-0.0929000000000002,-0.0035483870967742,-0.0004639531342593,0.0,-18.0
2017-05-22,-0.0155418534756588,0.0,-0.0014999999999996,-0.0558064516129032,-0.0013931523176786,0.0,6.0
